,time,f,f2
318,3.18,0.0,-0.1760967899314728
319,3.19,-0.003,-0.17707279509224966
320,3.2,-0.017,-0.1780183088170867
321,3.21,-0.01,-0.17893319241540556
322,3.22,-0.005,-0.17981731224007896
323,3.23,-0.021,-0.18067053970512614
324,3.24,-0.026000000000000002,-0.18149275130260545
325,3.25,-0.015,-0.18228382861870587
326,3.2600000000000002,-0.002,-0.18304365834902825
327,3.27,-0.013000000000000001,-0.18377213231306444
328,3.2800000000000002,-0.025,-0.18446914746786156
329,3.29,-0.011000000000000001,-0.1851346059208775
330,3.3000000000000003,0.003,-0.18576841494202273
331,3.31,0.005,-0.1863704869748853
332,3.3200000000000003,0.002,-0.18694073964714278
333,3.33,0.003,-0.18747909578015323
334,3.34,0.002,-0.18798548339772972
335,3.35,0.002,-0.1884598357340926
336,3.36,0.005,-0.18890209124100407
337,3.37,0.0,-0.1893121935940778
338,3.38,-0.005,-0.18969009169826864
339,3.39,0.003,-0.19003573969253726
340,3.4,0.006,-0.19034909695369304
341,3.41,-0.004,-0.19063012809941327
342,3.42,-0.01,-0.19087880299043758
343,3.43,-0.008,-0.19109509673193867
344,3.44,-0.002,-0.19127898967406953
345,3.45,-0.006999999999999999,-0.19143046741168832
346,3.46,-0.013000000000000001,-0.19154952078325663
347,3.47,-0.005,-0.19163614586891867
348,3.48,-0.001,-0.19169034398775514
349,3.49,0.001,-0.19171212169421828
350,3.5,0.004,-0.19170149077374465
351,3.5100000000000002,0.004,-0.19165846823754765
352,3.52,0.002,-0.19158307631659374
353,3.5300000000000002,-0.004,-0.19147534245475908
354,3.54,-0.004,-0.19133529930117094
355,3.5500000000000003,-0.012,-0.1911629847017345
356,3.56,-0.017,-0.19095844168984819
357,3.5700000000000003,-0.002,-0.1907217184763032
358,3.58,0.002,-0.19045286843838127
359,3.59,0.001,-0.19015195010813646
360,3.6,0.003,-0.18981902715987825
361,3.61,-0.001,-0.18945416839684834
362,3.62,0.005,-0.18905744773709723
363,3.63,0.006999999999999999,-0.188628944198564
364,3.64,-0.008,-0.18816874188335764
365,3.65,-0.016,-0.18767692996124774
366,3.66,-0.006,-0.18715360265236503
367,3.67,0.002,-0.1865988592091139
368,3.68,0.001,-0.18601280389729996
369,3.69,-0.001,-0.18539554597647928
370,3.7,0.002,-0.18474719967952913
371,3.71,0.013000000000000001,-0.18406788419144257
372,3.72,0.021,-0.18335772362735533
373,3.73,0.013000000000000001,-0.18261684700980552
374,3.74,0.005,-0.18184538824522797
375,3.75,0.006,-0.1810434860996925
376,3.7600000000000002,-0.001,-0.18021128417388466
377,3.77,-0.002,-0.1793489308773375
378,3.7800000000000002,-0.002,-0.1784565794019157
379,3.79,-0.013999999999999999,-0.17753438769455765
380,3.8000000000000003,-0.02,-0.17658251842927822
381,3.81,-0.013999999999999999,-0.17560113897844237
382,3.8200000000000003,-0.008,-0.17459042138330605
383,3.83,-0.009000000000000001,-0.17355054232383588
384,3.84,-0.005,-0.17248168308780956
385,3.85,-0.002,-0.1713840295392033
386,3.86,-0.008,-0.17025777208586856
387,3.87,-0.005,-0.16910310564651015
388,3.88,-0.002,-0.16792022961696149
389,3.89,-0.002,-0.16670934783577046
390,3.9,-0.005,-0.16547066854909945
391,3.91,-0.017,-0.16420440437494147
392,3.92,-0.021,-0.16291077226666378
393,3.93,-0.017,-0.1615899934758809
394,3.94,-0.026000000000000002,-0.1602422935146649
395,3.95,-0.033,-0.15886790211709872
396,3.96,-0.023,-0.15746705320017806
397,3.97,-0.015,-0.15603998482407
398,3.98,0.0,-0.1545869391517311
399,3.99,0.013999999999999999,-0.15310816240789676
400,4.0,0.021,-0.1516039048374438
401,4.01,0.022000000000000002,-0.15007442066313553
402,4.0200000000000005,0.021,-0.1485199680427542
403,4.03,0.032,-0.1469408090256306
404,4.04,0.023,-0.14533720950857415
